Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2016-01-04;null;21,579167;72,333333;
2016-01-05;null;20,383333;85,5;
2016-01-06;null;18,654167;91,458333;
2016-01-07;null;19,620833;86,708333;
2016-01-08;null;null;90,714286;
2016-01-09;null;null;71,111111;
2016-01-10;null;21,5125;70,5;
2016-01-11;null;21,633333;68,125;
2016-01-12;null;21,683333;74,833333;
2016-01-13;null;21,729167;77,083333;
2016-01-14;null;20,083333;81,833333;
2016-01-15;null;21;78,333333;
2016-01-16;null;21,525;79,833333;
2016-01-17;null;19,433333;88,375;
2016-01-18;null;20,2875;79,916667;
2016-01-19;null;19,483333;90,166667;
2016-01-20;null;18,141667;91,25;
2016-01-21;null;18,958333;91,083333;
2016-01-22;null;null;82,736842;
2016-01-23;null;19,470833;89,875;
2016-01-24;null;20,4125;86;
2016-01-25;null;20,979167;84,083333;
2016-01-26;null;21,05;83,25;
2016-01-27;null;19,958333;88;
2016-01-28;null;20,225;82,583333;
2016-01-29;null;20,691667;70,416667;
2016-01-30;null;20,0125;70,041667;
2016-01-31;null;19,325;74,25;
2016-02-01;0;20,754167;74,458333;
2016-02-02;0;21,216667;70;
2016-02-03;0;20,283333;76,125;
2016-02-04;0;20,591667;77,708333;
2016-02-05;0;20,883333;73,666667;
2016-02-06;0;21,591667;65,958333;
2016-02-07;0;21,404167;69,208333;
2016-02-08;0;21,116667;66,583333;
2016-02-09;0;21,479167;64,375;
2016-02-10;0;21,729167;64,333333;
2016-02-11;0;22,479167;61,5;
2016-02-12;0;22,5625;63,458333;
2016-02-13;0;21,333333;76,166667;
2016-02-14;0;21,766667;72,041667;
2016-02-15;0;21,933333;63,166667;
2016-02-16;0;22,166667;61,875;
2016-02-17;0;21,641667;58,416667;
2016-02-18;0;20,5;62,958333;
2016-02-19;,2;21,120833;70,25;
2016-02-20;0;21,5125;71,625;
2016-02-21;0;21,770833;67,416667;
2016-02-22;0;21,545833;65,25;
2016-02-23;0;20,8625;68,375;
2016-02-24;0;22,4625;63,791667;
2016-02-25;0;22,775;61,791667;
2016-02-26;0;21,979167;64,25;
2016-02-27;0;21,554167;71,958333;
2016-02-28;0;22,575;61,208333;
2016-02-29;0;22,5;63,875;
2016-03-01;0;22,170833;65,958333;
2016-03-02;0;21,5375;68,208333;
2016-03-03;0;22,179167;62,791667;
2016-03-04;0;21,945833;70,916667;
2016-03-05;,4;21,941667;76,583333;
2016-03-06;0;21,958333;73,958333;
2016-03-07;0;21,875;69,166667;
2016-03-08;0;22,004167;65,791667;
2016-03-09;0;21,95;64,208333;
2016-03-10;0;21,458333;69,375;
2016-03-11;0;22,070833;65,625;
2016-03-12;0;22,45;66,541667;
2016-03-13;0;22,383333;64,166667;
2016-03-14;0;21,179167;69,666667;
2016-03-15;,4;19,6625;75,5;
2016-03-16;0;20,7375;69,208333;
2016-03-17;0;20,741667;69,208333;
2016-03-18;0;21,933333;68,916667;
2016-03-19;0;22,608333;66,5;
2016-03-20;0;22,895833;64,75;
2016-03-21;0;22,0625;61,083333;
2016-03-22;0;22,8625;59,625;
2016-03-23;0;23,1125;60,291667;
2016-03-24;0;22,7375;67,041667;
2016-03-25;0;22,345833;66,791667;
2016-03-26;0;22,516667;61,625;
2016-03-27;0;22,241667;69,583333;
2016-03-28;0;21,2625;69;
2016-03-29;0;21,525;70,5;
2016-03-30;,6;21,704167;73,416667;
2016-03-31;0;21,654167;61,166667;
2016-04-01;0;20,7375;72,708333;
2016-04-02;0;20,629167;69,166667;
2016-04-03;0;20,945833;72,708333;
2016-04-04;0;22,258333;66,458333;
2016-04-05;0;22,266667;64,875;
2016-04-06;0;22,233333;63,291667;
2016-04-07;0;22,629167;62,916667;
2016-04-08;0;22,629167;63,833333;
2016-04-09;0;22,604167;64,416667;
2016-04-10;0;22,383333;62,708333;
2016-04-11;0;22;61,041667;
2016-04-12;0;20,4;77,166667;
2016-04-13;2,2;19,525;76,666667;
2016-04-14;0;19,379167;70;
2016-04-15;0;18,8375;76,166667;
2016-04-16;0;20,295833;68,166667;
2016-04-17;0;19,3125;75,583333;
2016-04-18;0;19,4625;73,875;
2016-04-19;0;19,1125;75,791667;
2016-04-20;0;18,308333;76,375;
2016-04-21;,2;19,416667;67,875;
2016-04-22;0;20,829167;62,416667;
2016-04-23;0;20,783333;60,333333;
2016-04-24;0;20,083333;70,333333;
2016-04-25;0;21,158333;63,541667;
2016-04-26;0;21,3;59,708333;
2016-04-27;0;22,025;53,625;
2016-04-28;0;21,970833;57,125;
2016-04-29;0;21,354167;56,458333;
2016-04-30;0;21,458333;61,833333;
2016-05-01;0;21,416667;67,791667;
2016-05-02;1,4;20,045833;79,583333;
2016-05-03;,2;18,483333;83,25;
2016-05-04;0;18,908333;77,125;
2016-05-05;0;20,004167;71,791667;
2016-05-06;0;20,629167;66,458333;
2016-05-07;0;19,533333;72,208333;
2016-05-08;0;19,1;72,666667;
2016-05-09;0;19,529167;66,208333;
2016-05-10;0;20,145833;61,875;
2016-05-11;0;20,441667;65,416667;
2016-05-12;0;21,166667;60,208333;
2016-05-13;0;20,9125;56,958333;
2016-05-14;0;20,241667;70;
2016-05-15;0;19,5125;74,583333;
2016-05-16;0;19,354167;76,75;
2016-05-17;0;20,566667;69,75;
2016-05-18;0;20,5625;66,125;
2016-05-19;0;20,754167;61,291667;
2016-05-20;0;18,7625;72,083333;
2016-05-21;0;18,941667;71,958333;
2016-05-22;0;20,05;65,375;
2016-05-23;0;20,4375;60,75;
2016-05-24;0;20,7125;59,333333;
2016-05-25;0;17,170833;87,708333;
2016-05-26;,4;16,795833;85,041667;
2016-05-27;0;18,691667;64,5;
2016-05-28;0;18,8125;66;
2016-05-29;0;19,85;68,458333;
2016-05-30;0;19,545833;73,791667;
2016-05-31;0;20,325;62,125;
2016-06-01;0;20,620833;61,791667;
2016-06-02;0;20,916667;49,25;
2016-06-03;0;21,620833;47,25;
2016-06-04;0;21,945833;53,25;
2016-06-05;0;21,895833;55,458333;
2016-06-06;0;21,9125;59,541667;
2016-06-07;0;22,1;59,458333;
2016-06-08;0;23,129167;51,541667;
2016-06-09;0;21,85;60;
2016-06-10;0;19,891667;73,625;
2016-06-11;,2;20,216667;71,541667;
2016-06-12;,2;20,604167;70,416667;
2016-06-13;0;19,054167;74,708333;
2016-06-14;,2;15,158333;87,458333;
2016-06-15;0;16,404167;76,75;
2016-06-16;0;17,570833;67,625;
2016-06-17;0;18,108333;59,666667;
2016-06-18;0;17,4875;73;
2016-06-19;0;17,675;80;
2016-06-20;0;17,466667;78,208333;
2016-06-21;,2;17,345833;66,291667;
2016-06-22;0;17,054167;68,666667;
2016-06-23;0;18,158333;67,708333;
2016-06-24;0;18,0125;57,333333;
2016-06-25;0;15,533333;86,75;
2016-06-26;1,4;14,879167;86,166667;
2016-06-27;0;15,429167;78,125;
2016-06-28;,2;15,520833;86,375;
2016-06-29;1;15,729167;82,625;
2016-06-30;,4;16,429167;83,375;
2016-07-01;,4;15,991667;77,458333;
2016-07-02;0;16,029167;75,5;
2016-07-03;0;15,366667;84,375;
2016-07-04;,6;16,4875;82,083333;
2016-07-05;1,4;15,825;86,541667;
2016-07-06;1,6;16,729167;75,541667;
2016-07-07;0;17,558333;68,333333;
2016-07-08;0;18,625;59,916667;
2016-07-09;0;17,416667;72,166667;
