Data Medicao,PRECIPITACAO TOTAL; DIARIO (AUT)(mm),TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),Latitude,Longitude
2015-12-05,0.0,22.525,63.083332999999996,-13.155681,-41.774125
2015-12-06,13.6,20.660870000000003,77.304348,-13.155681,-41.774125
2015-12-07,47.4,,59.8,-13.155681,-41.774125
2015-12-08,0.0,24.127273000000002,51.5,-13.155681,-41.774125
2015-12-09,0.0,22.6125,46.875,-13.155681,-41.774125
2015-12-10,0.0,22.670833,45.458333,-13.155681,-41.774125
2015-12-11,0.0,23.358333,41.666667,-13.155681,-41.774125
2015-12-12,0.0,24.173913,47.956522,-13.155681,-41.774125
2015-12-13,0.0,23.254167000000002,54.916667000000004,-13.155681,-41.774125
2015-12-14,0.0,22.520833,56.541667000000004,-13.155681,-41.774125
2015-12-15,0.0,22.0125,51.541667,-13.155681,-41.774125
2015-12-16,0.0,21.15,64.625,-13.155681,-41.774125
2015-12-17,12.2,21.470833,66.25,-13.155681,-41.774125
2015-12-18,5.0,22.270833,61.083332999999996,-13.155681,-41.774125
2015-12-19,0.0,21.820833,53.875,-13.155681,-41.774125
2015-12-20,0.0,22.0625,59.666667000000004,-13.155681,-41.774125
2015-12-21,0.0,21.079167,66.791667,-13.155681,-41.774125
2015-12-22,14.2,21.129167000000002,64.916667,-13.155681,-41.774125
2015-12-23,0.0,20.4375,67.958333,-13.155681,-41.774125
2015-12-24,0.0,20.820833,62.166667000000004,-13.155681,-41.774125
2015-12-25,0.0,22.204167,55.875,-13.155681,-41.774125
2015-12-26,0.0,22.55,57.625,-13.155681,-41.774125
2015-12-27,0.0,22.041667,61.0,-13.155681,-41.774125
2015-12-28,0.0,21.695833,61.791667000000004,-13.155681,-41.774125
2015-12-29,0.0,22.325,62.166667000000004,-13.155681,-41.774125
2015-12-30,0.0,23.029167,56.875,-13.155681,-41.774125
2015-12-31,0.0,22.145833,58.208332999999996,-13.155681,-41.774125
2016-01-01,0.0,23.370832999999998,60.416667000000004,-13.155681,-41.774125
2016-01-02,,,47.5,-13.155681,-41.774125
2016-01-03,,23.917391000000002,51.652174,-13.155681,-41.774125
2016-01-04,,21.579167,72.333333,-13.155681,-41.774125
2016-01-05,,20.383333,85.5,-13.155681,-41.774125
2016-01-06,,18.654167,91.458333,-13.155681,-41.774125
2016-01-07,,19.620832999999998,86.708333,-13.155681,-41.774125
2016-01-08,,,90.714286,-13.155681,-41.774125
