datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2015/11/14 16:32:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,15,0,1,-12.537,-41.32,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/12 16:45:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,13,0,1,-12.475,-41.422,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/17 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0.5,1,-13.041,-41.326,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/18 16:20:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.19,-41.28,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,5,0,0.9,-13.272,-41.233,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.173,-41.305,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.486,-41.413,,PARNA DA CHAPADA DA DIAMANTINA
2015/10/20 16:39:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,55,0,1,-12.823,-41.493,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/20 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,14,0,1,-13.124,-41.356,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/29 16:20:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,27,0.1,1,-12.975,-41.148,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,5,0,0.8,-12.53,-41.398,,PARNA DA CHAPADA DA DIAMANTINA
2015/10/22 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,63,0,1,-13.233,-41.37,,PARNA DA CHAPADA DA DIAMANTINA
